f_low,f_high,MAE,RMSE
0.1,5.0,1.4123,4.2157
0.1,8.0,1.4184,4.2253
0.1,12.0,1.444,4.2078
0.1,15.0,1.46,4.2107
0.1,20.0,1.4639,4.2124
0.1,25.0,1.4639,4.2124
0.2,5.0,1.4336,4.2191
0.2,8.0,1.407,4.1981
0.2,12.0,1.4905,4.2423
0.2,15.0,1.4894,4.2557
0.2,20.0,1.4717,4.2377
0.2,25.0,1.4763,4.2392
0.4,5.0,1.1551,3.1822
0.4,8.0,1.3417,3.3621
0.4,12.0,1.3015,3.36
0.4,15.0,1.2946,3.3598
0.4,20.0,1.2857,3.3234
0.4,25.0,1.2917,3.3244
1.0,5.0,1.2946,3.365
1.0,8.0,1.4829,3.4699
1.0,12.0,1.52,3.5359
1.0,15.0,1.4826,3.4859
1.0,20.0,1.4572,3.4719
1.0,25.0,1.4497,3.4673
1.5,5.0,1.2745,3.3425
1.5,8.0,1.2815,3.3866
1.5,12.0,1.3187,3.4388
1.5,15.0,1.3248,3.4549
1.5,20.0,1.3156,3.4353
1.5,25.0,1.3301,3.4108
