window_size,yw_order,MAE,RMSE
60,100,1.4894,4.2557
30,50,2.0482,3.4103
30,75,1.6903,3.1174
30,100,1.0849,2.721
30,125,1.0277,2.5013
30,150,1.022,2.5383
45,50,1.9842,3.4796
45,75,1.6847,3.351
45,100,1.266,3.5412
45,125,1.2332,2.808
45,150,1.131,2.7796
60,50,2.0608,3.7576
60,75,2.0594,4.4202
60,125,1.3248,3.3805
60,150,1.263,3.4126
75,50,2.1904,4.0869
75,75,2.1948,5.5817
75,100,1.7215,5.2104
75,125,1.5051,4.3497
75,150,1.4056,4.4019
90,50,2.2037,4.2628
90,75,2.3268,5.4084
90,100,1.3361,3.6506
90,125,1.5196,3.9408
90,150,1.4182,4.018
