lambda,delta,MAE,RMSE
0.99,0.01,8.4688,16.8407
0.99,0.1,7.1839,15.0915
0.99,1.0,6.9247,14.9017
0.99,10.0,5.9407,13.1333
0.99,100.0,5.4867,12.6315
0.995,0.01,6.802,14.701
0.995,0.1,4.5448,11.1043
0.995,1.0,6.1354,13.4657
0.995,10.0,5.2143,12.0267
0.995,100.0,5.8072,13.0767
0.999,0.01,2.8092,4.8815
0.999,0.1,3.2822,6.4849
0.999,1.0,3.9687,8.1872
0.999,10.0,3.8476,7.3729
0.999,100.0,3.227,7.2248
0.9999,0.01,4.0243,7.2871
0.9999,0.1,3.9351,7.2466
0.9999,1.0,4.8583,9.1403
0.9999,10.0,5.0615,9.6752
0.9999,100.0,5.6368,10.9216
1.0,0.01,7.5172,12.1408
1.0,0.1,7.5621,12.3654
1.0,1.0,8.1976,13.4328
1.0,10.0,7.603,12.5593
1.0,100.0,7.1467,11.8446
