w2,w3,w4,w5,MAE,RMSE
0.1250,0.3750,0.2500,0.2500,4.8583,9.1403
0.3893,0.3995,0.0242,0.1870,6.2981,10.4044
0.1888,0.1409,0.1807,0.4896,9.7256,16.3543
0.1152,0.3626,0.4875,0.0347,4.3917,8.3481
0.2978,0.2127,0.0097,0.4798,9.3497,15.6886
0.1856,0.3075,0.3004,0.2066,4.8326,8.5843
0.2684,0.2736,0.3904,0.0676,4.8932,8.6223
0.0362,0.4109,0.1046,0.4483,6.6593,12.4323
0.2276,0.0682,0.0008,0.7033,12.1441,18.6649
0.0403,0.5008,0.3763,0.0825,4.2121,8.1898
0.3398,0.1688,0.0532,0.4382,9.3552,15.7069
0.1092,0.5634,0.0361,0.2913,4.9822,9.3209
0.0643,0.2268,0.6921,0.0168,4.3162,8.2343
0.0061,0.1588,0.1732,0.6619,10.6361,17.6122
0.0113,0.2481,0.5394,0.2012,4.3326,8.2411
0.4266,0.0167,0.5388,0.0179,7.201,12.487
0.5398,0.0341,0.1663,0.2598,10.5876,16.7755
0.4574,0.2287,0.2460,0.0678,7.0037,11.1846
0.4235,0.0530,0.2852,0.2382,7.5819,12.639
0.3148,0.2805,0.1315,0.2732,6.557,10.9754
0.2023,0.5215,0.1114,0.1648,5.1729,9.4667
0.0097,0.2757,0.0058,0.7089,10.7175,17.6994
0.5694,0.1735,0.1043,0.1528,8.1153,12.6193
0.0487,0.6181,0.0293,0.3039,4.918,9.2787
0.1080,0.5336,0.1227,0.2357,4.7968,9.1077
0.1479,0.4728,0.2370,0.1423,4.5632,8.4489
0.0467,0.1576,0.2097,0.5860,10.6825,17.7027
0.0541,0.0694,0.3956,0.4809,8.4109,15.2854
0.1422,0.2099,0.6013,0.0466,4.471,8.3488
0.5460,0.0447,0.3960,0.0133,7.669,12.0731
0.0819,0.2492,0.2616,0.4073,6.7248,12.4162
